City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
69,challapata,13,BO,1571195583,63,-18.9,-66.78,50.900000000000006,2.106
70,mount gambier,40,AU,1571195583,77,-37.83,140.78,61.069999999999965,6.2
71,nikolskoye,40,RU,1571195583,86,59.7,30.79,37.66999999999996,5.0
72,hithadhoo,100,MV,1571195584,78,-0.6,73.08,80.41999999999996,3.053
73,east london,0,ZA,1571195584,87,-33.02,27.91,57.469999999999956,2.1
74,rikitea,67,PF,1571195584,88,-23.12,-134.97,74.84000000000003,2.908
75,taoudenni,43,ML,1571195585,21,22.68,-3.98,87.98000000000005,4.045
76,naranjal,90,PY,1571195585,94,-25.97,-55.19,71.86999999999996,2.1
77,port lincoln,0,AU,1571195585,53,-34.72,135.86,62.95999999999998,8.707
78,pitimbu,20,BR,1571195585,94,-7.47,-34.81,73.66999999999996,2.6
79,arraial do cabo,0,BR,1571195586,89,-22.97,-42.02,72.68000000000004,4.213
80,nedumangad,75,IN,1571195586,88,8.61,77.0,80.86999999999996,2.1
81,molde,21,NO,1571195586,75,62.74,7.16,46.66999999999996,5.7
82,avarua,54,CK,1571195586,65,-21.21,-159.78,77.26999999999995,4.1
83,riverton,1,US,1571195586,52,43.02,-108.38,44.86999999999996,0.988
84,aleksandrovka,97,RU,1571195587,76,54.24,50.04,38.3,6.267
85,boden,0,SE,1571195587,100,65.83,21.69,25.069999999999958,4.1
86,camacupa,100,AO,1571195587,92,-12.02,17.48,63.5,1.254
87,severo-kurilsk,95,RU,1571195588,78,50.68,156.12,37.219999999999956,13.311
88,tuktoyaktuk,90,CA,1571195588,85,69.44,-133.03,23.26999999999996,6.7
89,barrow,88,AR,1571195588,95,-38.31,-60.23,42.08000000000004,3.621
90,san policarpo,100,PH,1571195588,80,12.18,125.51,83.30000000000001,5.37
91,yarmouth,5,CA,1571195589,81,43.84,-66.12,52.26799999999999,3.1
92,longyearbyen,20,NO,1571195589,79,78.22,15.63,21.469999999999956,2.6
93,zhezkazgan,75,KZ,1571195589,87,47.8,67.71,44.86999999999996,8.0
94,baghdad,8,IQ,1571195589,35,33.3,44.38,70.06999999999996,3.1
95,buraydah,100,SA,1571195590,40,26.33,43.97,71.86999999999996,2.602
96,kuzino,100,RU,1571195590,92,57.02,59.44,32.719999999999956,4.473
97,saint george,0,GR,1571195590,93,39.45,22.34,55.66999999999996,2.6
98,beyla,100,GN,1571195590,98,8.69,-8.65,68.26999999999995,0.93
99,bambous virieux,40,MU,1571195591,69,-20.34,57.76,75.46999999999997,4.6
100,uvat,80,RU,1571195591,95,59.14,68.9,37.04000000000002,2.205
101,huanren,0,CN,1571195591,31,41.26,125.37,53.24000000000002,1.886
102,constitucion,40,MX,1571195591,48,23.99,-104.67,66.46999999999997,1.0
103,clearwater,40,US,1571195592,78,27.97,-82.8,81.26600000000002,4.266
104,ahipara,35,NZ,1571195592,83,-35.17,173.16,65.26400000000004,12.408
105,bethel,75,US,1571195592,100,60.79,-161.76,35.86999999999996,1.5
106,ponta do sol,94,BR,1571195592,57,-20.63,-46.0,71.24000000000002,1.943
107,fort nelson,90,CA,1571195593,100,58.81,-122.69,34.06999999999996,3.1
108,chuy,100,UY,1571195593,77,-33.69,-53.46,57.38000000000004,5.332
109,alihe,54,CN,1571195593,41,50.57,123.73,46.4,2.319
110,mahebourg,40,MU,1571195593,69,-20.41,57.7,75.46999999999997,4.6
111,goulburn,97,AU,1571195593,38,-34.75,149.72,75.27200000000005,2.24
112,ust-kuyga,93,RU,1571195594,94,70.0,135.55,12.74000000000002,3.847
113,surt,33,LY,1571195594,81,31.21,16.59,71.41999999999996,3.907
114,haines junction,94,CA,1571195594,95,60.75,-137.51,21.74000000000002,1.23
115,dikson,100,RU,1571195594,86,73.51,80.55,28.94000000000002,7.718
116,nyurba,100,RU,1571195594,93,63.29,118.35,36.14000000000002,3.706
117,iqaluit,90,CA,1571195595,80,63.75,-68.52,30.46999999999996,5.182
118,manokwari,56,ID,1571195595,82,-0.87,134.08,78.08000000000004,1.558
119,komsomolskiy,40,RU,1571195595,72,67.55,63.78,23.54000000000002,8.713
120,san patricio,100,PY,1571195596,93,-26.98,-56.83,61.51999999999996,1.963
121,mar del plata,96,AR,1571195596,76,-46.43,-67.52,48.38000000000004,6.635
122,aripuana,95,BR,1571195596,98,-9.17,-60.63,73.21999999999997,2.341
123,chokurdakh,97,RU,1571195596,96,70.62,147.9,12.2,2.972
124,assiniboia,100,CA,1571195597,75,49.63,-105.99,34.51999999999996,4.796
125,halifax,5,CA,1571195597,81,44.65,-63.58,47.26400000000003,4.6
126,kailua,75,US,1571195597,51,21.39,-157.74,87.27799999999996,5.1
127,dali,98,CN,1571195597,75,34.79,109.94,53.41999999999996,4.078
128,vaini,19,IN,1571195598,94,15.34,74.49,73.66999999999996,3.1
129,bathsheba,20,BB,1571195598,74,13.22,-59.52,82.66999999999996,4.6
